sep=;
Change-Id=Iceeb45750dcb1ce01a2407343c1931a6e7f59ee2; subject=IB/uverbs: Expose odp_mr_max_size capability; feature=odp_mr; upstream_status=in_progress; general=;
Change-Id=I1111084ddf73593e31908caa22f4d8d5ee9f1c42; subject=IB/mlx5: Inform userspace about implict MR support; feature=odp_mr; upstream_status=in_progress; general=;
Change-Id=I71ea1e3e025dff469c9e18b4aeb038a450bcbe2e; subject=IB/mlx5: Implict ODP + peer-direct adaptation; feature=odp_mr; upstream_status=rejected; general=;
Change-Id=I0f7843aff8d600b99bfb60a8c297159e2f8ea9d1; subject=IB/core: Add new SRQ type IB_EXP_SRQT_TAG_MATCHING; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I8b0c80774befa37a30897bfb1e0d23fbda3372d8; subject=IB/uverbs: Add new SRQ type IB_EXP_SRQT_TAG_MATCHING; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I12018fb42cf5aa3d185874365b78869cc4c04bb4; subject=IB/uverbs: Expose tag matching capabilties to UAPI; feature=tag_matching; upstream_status=NA; general=;
Change-Id=Idf943e85aa0b34f54a966bb93deb38da64f8884e; subject=IB/mlx5: Fill TM SRQ capabilities; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I56910bcb5e54789a3f6eba71f16d47280c526c04; subject=net/mlx5: Add EXP XRQ support; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I9a22d35483f6a79bea69aaf0b4d6afaa166ff869; subject=IB/mlx5: Support IB_EXP_SRQT_TAG_MATCHING; feature=tag_matching; upstream_status=NA; general=;
Change-Id=Ie714f83a43421a6704087acb62ca67ca142ac68c; subject=net/mlx5: Decrease default mr_cache size; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Ifadc23ab2f90eee77e7b96295a4d530ea4495c9f; subject=IB/mlx5: Add TM DC capability; feature=tag_matching; upstream_status=NA; general=;
Change-Id=Ibb812228f8b2d2f13b6831c8838ec0517482c8e9; subject=IB/mlx5: Add TM support for DCT; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I346d40b467dc6ba6f4e98e9c93a24e687f620dab; subject=net/mlx5: Add XRQ DC offload params support; feature=tag_matching; upstream_status=NA; general=;
Change-Id=Ie562706f7e97aee2d9321b8385eee7d21ad5c496; subject=IB/mlx5: Add XRQ DC offload params support; feature=tag_matching; upstream_status=NA; general=;
Change-Id=I386b97355f4553d9507f05085d967eb111ea1505; subject=IB/mlx5: Skip non-ODP MR; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I4691ab6d90214f13fcb788888db065b8f351631e; subject=IB/mlx5: ODP support for user space UMR; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Id624ac386688d3962245be836f34f02701ff85b0; subject=IB/mlx5: Add ODP DC and extended atomics support; feature=DC; upstream_status=NA; general=;
Change-Id=I4991ea8ea8c672c83431077869bdd6d432191a13; subject=IB/mlx5: Add ODP asynchronous prefecth; feature=odp_mr; upstream_status=in_progress; general=;
Change-Id=I6b02cd3af47ab82629779476b785885d34c3941b; subject=IB/mlx5: Add ODP vector calc support; feature=vec_calc; upstream_status=NA; general=;
Change-Id=Icc35f587ad34d002d5b4640cd26398bbab7b7568; subject=IB/mlx5: Fix debugfs num_odp_mrs; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I97249a1e84b2228fa16874c4aa1f2b0b5f12b388; subject=IB/{umem,mlx5}: Fix debugfs num_odp_mr_pages; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Iafafa652b83e5eddc6d72707fe4bc228010db536; subject=IB/mlx5: Add ODP stride block support; feature=vec_calc; upstream_status=NA; general=;
Change-Id=Iec57eaa6d47b1b113e5881beb7d5ae8b5385c393; subject=IB/mlx5: Fix implicit MR locking; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I601da656dda9f6e51ee0891a1a30ce363943656c; subject=IB/mlx5: Fix implicit ODP initialization hang; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I3efc109c93bafda1d86284511866e48b3f5a7500; subject=IB/mlx5: Avoid infinite loop in mr cache GC; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I4d60eeeda332c8582b938cee4ae91dddca0db9fb; subject=IB/mlx5: Fix implicit MR GC race; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I530753f6edda179a0a19bb183d346f9f36720faf; subject=IB/mlx5: Fix ODP prefetch counters; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Ia4bfaee2b723ed0b424a1863179ad675fff529f1; subject=BACKPORTS: Add pcie_dev_attr_group sysfs vars; feature=backports; upstream_status=NA; general=;
Change-Id=I00606b91c1bd0e44808c4297f649021bdbeb63e8; subject=IB/uverbs: Expose signature handover caps to UAPI; feature=signature_handover; upstream_status=NA; general=;
Change-Id=I0759c8ac5f202da093055f47d93607b2327e5860; subject=IB/{uverbs,mlx5}: Pass SIG MR PSV indices to userspace; feature=signature_handover; upstream_status=NA; general=;
Change-Id=I57d7a666250855b745fbc7dccee0128f986b1098; subject={IB,net}/mlx5: Handover SIGERR SQD to userspace; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Idc6793c4b4574f7378f9bd494cfdc49aa1de95fc; subject=IB/mlx5: Fix DCT min_rnr_timer; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I3041a13b03c4372b050cb43a8f5e712c97df5626; subject=IB/mlx5: Add mlx5_ib_pgprot_writecombine; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Ia6f127822de1f1752154b41fe59b4235fe95e598; subject=IB/mlx5: Fix implicit MR locking - rebase fix; feature=mlx5_ib_bugs; upstream_status=NA; general=;
