sep=;
Change-Id=I36b2e3c11c5f92f50b849d375a3e1d2b0e9e89d1; subject=IB/mlx5: Declare compact AV for supporting devices; feature=compact_av; upstream_status=NA; general=;
Change-Id=I135df2871523ed19fd62c84bca56d440368f5ea6; subject=net/mlx5e: Disbale SKPRIO<->UP mapping from sysfs; feature=mlx5_sysfs_ecn_mstdump; upstream_status=NA; general=;
Change-Id=Icd2eccdc9957836ad11787c38e4de197d73929e8; subject=net/mlx4_core: Enable discarding/passing multicast loopback packets by FW/HW; feature=mlx4_core_misc; upstream_status=NA; general=;
Change-Id=I3427e04332fd6d8c074654d6ba2477b73e01f10b; subject=net/mlx4_core: Add support for ignoring source IP check; feature=mlx4_flow_steering; upstream_status=NA; general=;
Change-Id=If1e25ecff032aa3239401b02512b3b41cfd45cc9; subject=net/mlx4: Add sysfs for VF link state support; feature=mlx4_vf_link_support; upstream_status=NA; general=;
Change-Id=Id06fc427d79fa4901027d8fdc693051a1e92ffee; subject=net/mlx4_core: Change the default value of enable_4k_uar module param; feature=mlx4_4k_uar_default_enable; upstream_status=NA; general=;
Change-Id=Iffb7707ca53fc4a88800942d14bcc83a3f8d7992; subject=net/mlx4_core: Separate max extended and basic counters on query device; feature=mlx4_en_bugs; upstream_status=NA; general=;
Change-Id=Ib0ea4b38b6817802d596da32ef9287ec84cf95bf; subject=net/mlx4: Add vport and vf counters; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=Ie1419ce13eb023de6c81bb6e92338df9f82dff64; subject=net/mlx5e: Set uninitialized variable in mlx5e_modify_tirs_lro; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I5a2e1f314e58addb58eb700b5ba87c61b4615242; subject=net/mlx5e: Fix warning of -Wmaybe-uninitialized in add_ethtool_flow_rule; feature=mlx5e_fixes_4.10; upstream_status=NA; general=;
Change-Id=I7b674c1a73485faf260e5b35408b220bf88f1246; subject=net/mlx4_en: Fix NUM_ALL_STATS define to include vport and vf stats; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I298b1ad8c255934feb14a7b7bd2d210a49051256; subject=net/mlx4_en: Add checks for set_channels to base code; feature=mlx4_en_bugs; upstream_status=NA; general=;
Change-Id=Iabf5ecbe2a0b851adddc032e0c2abae924b16e2c; subject=net/mlx5e, net/mlx4_en: Add min/max checks for old kernels; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I73d19204f28497453baaa0f261bcf965a1b557bd; subject=net/mlx4_en: fix wrong bounderies check in ethtool set channels; feature=mlx4_en_bugs; upstream_status=NA; general=;
Change-Id=I9b11ee1eff97758184feab8b98fb73546f730b2b; subject=net/mlx4_core: Fix amount of counters initialization in resource tracker; feature=mlx4_core_bugs; upstream_status=NA; general=;
Change-Id=I068df716e900b1c0b083cfcdbe75e9c4b1a3940f; subject=net/mlx5_core: Fix wrong print of SW struct address instead of FW page address; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I96a839780d63ef1b1f9f790b0d8606aab4d75b48; subject=net/mlx5e: Don't use esw before checking it is allowed; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=Iad26d9b294627f6e2c50ee9e4e0e4e37d92d4879; subject=net/mlx5e: Skip special SQ allocation if not needed; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I348bc188af6b3a8dd27413636298a5a90d8fa931; subject=net/mlx4_core: Adapt sink counter error flow to handle EDQUOT; feature=mlx4_en_bugs; upstream_status=NA; general=;
Change-Id=I790b4a415d2870a06f4e594363590bbf6c600d48; subject=net/mlx5e: Enlarge TX inline header size in case of IP mode to include IPv4/IPv6 header; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=Icb72ae4d0e816cd35d2ff485e171ad5dbc9cb0e6; subject=net/mlx5e/mlx4_en: Fix min MTU validation; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I2d41d65dbfb5a43bd87fe0b00716b934e75dcca3; subject=BACKPORTS: fix mlx5 xdp_tx_mpwqe backports; feature=backports; upstream_status=ignore; general=;
