sep=;
Change-Id=I31a2de5a6f62186190ce75c11a869180bd61be23; subject=net/mlx4_core: Make each VF manage its own mac table; feature=mlx4_core_misc; upstream_status=in_progress; general=;
Change-Id=I76618aee8a6bbec267d237ea1fa4cdedab66cbf9; subject=net/mlx4_en: Add new FDB entry only if there is space in the mac table; feature=mlx4_en_misc; upstream_status=in_progress; general=;
Change-Id=I3ae950a838c14ad47a8bb6e9e7a1eb33fab13035; subject=net/mlx4_core: Enable 4K MTU for SR-IOV device; feature=mlx4_core_misc; upstream_status=NA; general=;
Change-Id=I265e2ff4ba3e336eb7ef753bb6810103639b2cc4; subject=IB/ipoib: Fix race in the TX flow at CM mode; feature=ipoib_bugs; upstream_status=in_progress; general=;
Change-Id=Ia44e88efbf1c1032dc2e36fc29e2e7077d17e6d3; subject=IB/IPoIB: Detach the neigh gc time from the system gc time; feature=ipoib_neigh_time; upstream_status=in_progress; general=;
Change-Id=I80a022065d6a414e21b5c97a232a336179d84071; subject=IB/ipoib: fix bug in handling resv/send ring; feature=ipoib_bugs; upstream_status=NA; general=;
Change-Id=I258684734fcbe8d5e859c1c639f186bdb1781797; subject=IB/ipoib: Variable tx_outstanding will be atomic instead of unsigned in RSS code; feature=ipoib_rss_tss; upstream_status=NA; general=;
Change-Id=I53fa15bab33ff473c9b92e8c8ae50ba8304222ac; subject=IB/ipoib: Add retries to ipoib_cm_tx_destroy func; feature=ipoib_bugs; upstream_status=in_progress; general=;
Change-Id=Id06f14a35300ba947929ad8c7e73b2e4b4e957f1; subject=IB/ipoib: Handling the wc's in the right place; feature=ipoib_napi_tx; upstream_status=in_progress; general=;
Change-Id=Ibd031c48053385f08ddae7e69746f5ad20d589d2; subject=IB/ipoib: Calculate TX CM destroy retries correctly; feature=ipoib_bugs; upstream_status=in_progress; general=;
Change-Id=I408e6eec1b560ffe4cfdf1d80b268956c1b6504f; subject=IB/ipoib: Force CQ drain when destroying tx; feature=ipoib_bugs; upstream_status=in_progress; general=;
Change-Id=I20fc2ab61b460f7c87a32b3dceb3507a8cf4d74a; subject=net/mlx5e: IPoIB, Don't use netdev_priv when link type is IB; feature=rebase; upstream_status=in_progress; general=;
Change-Id=I2f0b9d4659fd436e8c2a64a2f1e47365c2a768b0; subject=net/mlx5e: IPoIB, Handle get_stats64; feature=ipoib_accelerated; upstream_status=in_progress; general=;
Change-Id=I85703b8f50af272c2887fdf1798d50f970f42938; subject=net/mlx5e: IPoIB, decrease max_channels to 16; feature=ipoib_accelerated; upstream_status=in_progress; general=;
Change-Id=I4cb050c536da38e36daeb7f2a71dfe68fdf9ba4b; subject=IB/ipoib: Add details to tx_outstanding function; feature=ipoib_bugs; upstream_status=NA; general=;
Change-Id=I58f4cecac34d80e6a20d971ca939af513625c2d3; subject=IB/ipoib: Block PKEY creation using ip link; feature=ipoib_bugs; upstream_status=NA; general=;
Change-Id=I490e5d1568d42e9ea1ed0b6edb6c267da35a4316; subject=net/mlx5_core: Export some pci functions and variables; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=I7e09d00d70a6274b44c7966555755fbc742a5add; subject=net/mlx5_core: Introduce crdump utility for FW debug; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=Iaf24947de9da86fa525ef9b785f9c3be0b2a8479; subject=IB/ipoib: RSS/TSS, Get rid of the tx_outstanding variable in all modes; feature=ipoib_rss_tss; upstream_status=NA; general=;
Change-Id=Ie9dfc540ce0be8dafeb4f89ba8d4bfe3ca32e4fc; subject=IB/ipoib: RSS/TSS, Use NAPI in UD/TX flows; feature=ipoib_rss_tss; upstream_status=NA; general=;
Change-Id=If22df8207e3d778605365b428fa19193bb788715; subject=net/mlx5e: IPoIB, Add ndo_tx_timeout to IPoIB; feature=ipoib_accelerated; upstream_status=in_progress; general=;
Change-Id=I000f1e2633b95d93912da3245753ee4394cecc6c; subject=IB/ipoib: Use rdma_netdev tx_timeout if exists; feature=ipoib_accelerated; upstream_status=in_progress; general=;
Change-Id=Ifb963ccf9ca640f68e40f4d651ef1f36db3b84a5; subject=net/mlx5_core: Collect crdump only when pci is available; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=I9f14911fa05698408f2bacec5c36dd1a2a52ea7b; subject=net/mlx5: Send event before collecting cr-dump; feature=mlx5_sw_reset; upstream_status=in_progress; general=;
Change-Id=I08995a336b4f8f32fe5961a1a9dc1c73309db69a; subject=net/mlx5: Adjust health recovery time; feature=mlx5_sw_reset; upstream_status=in_progress; general=;
Change-Id=I33c41f92126a49d3fefacddd9eb0f3ad2b699617; subject=IB/mlx5: Change shift operation to use long and MD files; feature=exp_umr; upstream_status=in_progress; general=;
