sep=;
Change-Id=I788da6450b91265280f84173aacdcf45aeb17fd8; subject=IB/srp: force reconnect_delay module param to exceed fast_io_fail_tmo; feature=ib_srp_bugs; upstream_status=NA; general=;
Change-Id=I29416747cca0f789d312a3468191295806b1903f; subject=nvme-rdma: add include of sizes.h; feature=nvmf_bugs; upstream_status=NA; general=;
Change-Id=Id2f467034ec3efc5337486b6a2e422bf33027cd0; subject=nvme: Add disk removal flow with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I17252f43c80ebe06920acc55577666669a46b653; subject=nvmet: Create/Destroy backend controller when enable/disable offload namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie68e1741f8d98dff6e317eb5f6ff2d5159bb9274; subject=nvmet: Replace pci_device_path with subsystem offload attribute; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I755ce9611f42575ecaeb48127162ea2717b1cfdf; subject=nvmet: Don't allow to enable many namespaces on offloaded subsystem; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I1cad4e7a41e6fadc0dd2d050580ed314a7c1dd15; subject=nvmet: Fix nvmet_rdma_install_offload_queue(); feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iafbe07cfe6d72ecd402edd70226a93293ec2d1f0; subject=nvmet: Add support for changing subsystem attr_offload with enabled namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie587b101179affdac0539b8194fe0e05518ea514; subject=nvmet: Add fabrics ops to port; feature=rebase; upstream_status=in_progress; general=;
Change-Id=I8d1e2cd6b771417fd2bbffb0ffddb821d27741b4; subject=nvmet: Add port transport active flag; feature=rebase; upstream_status=in_progress; general=;
Change-Id=Icb17433029f71bc68a4d541bfaffbc9b4c8a1409; subject=nvmet-rdma: Destroy XRQ when destroying the rdma_cm id; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia3eaace0074d8d26b594c5b660c3dc1627a84683; subject=nvmet-rdma: Use nvmet port private data properly with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I701102a395eea743fec7c0653be32ba85ee30201; subject=nvmet: Fix XRQ teardown flow; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ic1ef3421f54af91a5e1e369c18eecb645674e47b; subject=nvmet-rdma: Fix setting invalid value to offload_buffer_size; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I0fc6a413dbce2f38c373fb414b968521c1f7879e; subject=nvmet: Fix write zeroes support with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I9e67ca6c2f0b0ec5c7fbb6dc3855ad5e64fbaf27; subject=nvme-pci: Introduce nvme_find_ns_id_from_bdev function; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I9f49568730b2747dec3b895f1dd49cca510305d7; subject=nvmet-rdma: Add support for offload backend namespace id other than 1; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I484220d32abcdf5a013501d382e57db8cc5257a8; subject=nvme: Fail unsupported num_p2p_queues values; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iaad62aae7b6079fc30e53526193ef7084e550079; subject=nvmet: Use port fabric ops reference; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I6eefc0e71477e10c7ff378f2de4ea01bb31ed3a1; subject=nvmet-rdma: support max(16KB, PAGE_SIZE) inline data (offload); feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I14c07182f3a2d26cc6681c0007a35794f27fa768; subject=nvmet: Fix offload rebase; feature=rebase; upstream_status=NA; general=;
Change-Id=I2dfa680c96120741e0099a492d17ed79dc5da58e; subject=nvmet: many XRQs per offload controller; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie195fb175efd3154feec2ee3a065af9cc0f78af8; subject=nvmet: fix error flow during ns enable (offload); feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I75d9b9872d931f92cc6d0e5f3b0bb9806390ff4d; subject=nvmet-rdma: Fix NULL deref of offload ctrl when enabling the namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia3cdbc08b31f8a5bf8a693c3e8a9edd43399c422; subject=nvmet: Fix NULL deref at nvmet_rdma_destroy_offload_ctrl(); feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I2fea442d4d59ac860774582d78a8bef924b4db91; subject=nvme: Add support for offload with native nvme MP device; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I5f1072b1973b1da559d002536ba8720dd19cd7f1; subject=nvme-rdma: Refactor admin queue creation; feature=nvmf_bugs; upstream_status=in_progress; general=;
Change-Id=I09d314d04e1a360c2736830528b9a74416a79033; subject=nvme: Introduce nvme_is_aen_req function; feature=nvmf_bugs; upstream_status=in_progress; general=;
Change-Id=I962ac7acd377acf2aa5766a1a2dc90c38d47e497; subject=RDMA/core: Introduce IB_MR_TYPE_INTEGRITY and ib_alloc_mr_integrity API; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=I364df3264274d75b23fe14a6d7b2b1f5891712de; subject=IB/iser: Use IB_WR_REG_MR_INTEGRITY for PI handover; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=I61b95900f3a8ab6cc15dae20fa74d087e047d3db; subject=IB/iser: Unwind WR union at iser_tx_desc; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=Ieab11c5f5f9ce6256d5101ff4f2534bd37d6b614; subject=RDMA/core: Add an integrity MR pool support; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=I5196c97b8d908672376895cf56f82e1d25f1fcfa; subject=RDMA/core: Rename signature qp create flag and signature device capability; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=Id7f5e66c0f9da786acef687fdfddb8c9d632b00b; subject=RDMA/rw: Introduce rdma_rw_inv_key helper; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=Iee29d091829a1309784197eb8ed8184d314c1849; subject=RDMA/rw: Use IB_WR_REG_MR_INTEGRITY for PI handover; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=I8610b8c22b9a4fdb1a0a5837a45f73b893317e1e; subject=RDMA/mlx5: Remove unused IB_WR_REG_SIG_MR code; feature=mlx5_pi; upstream_status=accepted; general=;
Change-Id=Iac925ffc51531661b8892fe57c431c449df7c60c; subject=RDMA/mlx5: Improve PI handover performance; feature=mlx5_pi; upstream_status=accepted; general=;
