sep=;
Change-Id=Ibc67a2f0eea5029be6fbc4944f8e218b685220b6; subject=net/sched: Add pedit munged flag for centos 7.2 default kernel; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I28bb3b822a6755ede0a8ca70aa469842272de2c2; subject=net: sched: flower: Fix delete filter scheme; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I71158093aeeffd42a6402a8337c8ad429697dfdf; subject=net/sched: Fix incorrect match on vlan packet in centos 7.2; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I1763d029be536c8a33eb26e9e542ecce7ca6967d; subject=net/mlx5e: Enable setting multiple match criteria for flow group; feature=mlx5_asap; upstream_status=accepted; general=;
Change-Id=I75cebc835635834743e021c4029cca59607b8604; subject=net/mlx5: Introduce vport metadata matching bits and enum constants; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I18067457c9f25db47ee9f9e862e0214024ed8a56; subject=net/mlx5: Get vport ACL namespace by vport index; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I270f46879d23738da7b9c0bfa7ef06150358deab; subject=net/mlx5: Support allocating modify header context from ingress ACL; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I51d6cd86ccfb1de3f1040daa2028bd8ab410a824; subject=net/mlx5: Add flow context for flow tag; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I5107a87d5b955d11112f9fce732aaa8c6343857a; subject=net/mlx5: E-Switch, Tag packet with vport number in VF vports and uplink ingress ACLs; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3f2471fe45640678552bd6d32dd91fe897b5eab2; subject=net/mlx5e: Specifying known origin of packets matching the flow; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Iaa1519ff0af92c3543c52d733517bd2cfaf182da; subject=net/mlx5: E-Switch, Add match on vport metadata for rule in fast path; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I83ed492cf36aef40f41c63f7fd1c44c2b05c30e2; subject=net/mlx5: E-Switch, Add query and modify esw vport context functions; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Id593e4643fae12c608f50634bc2f55fa8d0b98c4; subject=net/mlx5: E-Switch, Pass metadata from FDB to eswitch manager; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ia42eddd0e11b0df5efda9786a214ee7c45658828; subject=net/mlx5: E-Switch, Add match on vport metadata for rule in slow path; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ica7ad47ddf08e0bbc16198168d72f0c015272847; subject=RDMA/mlx5: Add vport metadata matching for IB representors; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3924d78b7586fe0d953296cd6e8aac2a0ae6406c; subject=net/mlx5: E-Switch, Enable vport metadata matching if firmware supports it; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I163d7d3eca615673bf32820da1e7c3e7ca314098; subject=vf-net-link-name.sh: Fix the issues of renaming representors; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=If4e510117650c02a29a2a95adfac496a2979e923; subject=net/mlx5: Support egress and ingress ACLs in eswitch mode; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I3fc5079f0bead71bab690b740622252d6a7f3e5b; subject=net/mlx5e: Don't add decap action for mirroring; feature=mlx5e_st_ct; upstream_status=NA; general=;
Change-Id=Ifc6c141bf4d9f37422cdf30347cf7ab65c980e22; subject=net/mlx5e: Don't override vport admin link state in switchdev mode; feature=mlx5_asap; upstream_status=accepted; general=;
