sep=;
Change-Id=I609f42c54a2380ddf186513d8ad5d6e1f763d25a; subject=IB/mlx5: Expose R-RoCE UDP source ports for user; feature=cx4_roce_ud_exp; upstream_status=NA; general=;
Change-Id=I25aecb98003b353c29b64f6835d6742e1078f249; subject=net/mlx4_core: Extend num_mtt in dev caps to avoid overflow; feature=mlx4_core_bugs; upstream_status=in_progress; general=;
Change-Id=I92727ce1dcc2945f8753e0891ebf17a88ef57eed; subject=net/mlx4_core: Add new recoverable error event; feature=mlx4_core_misc; upstream_status=NA; general=;
Change-Id=Ic2dce26f04a650656d6540d4248e67d6d6cfbcc0; subject=net/mlx5_core: Query special contexts; feature=special_context; upstream_status=NA; general=;
Change-Id=I9cf1ea0dad9e35576f1c47cc3134101a4f0b7ef3; subject=IB/mlx5: Update the local dma lkey; feature=special_context; upstream_status=NA; general=;
Change-Id=I929447170aad1d54d475d116cfc000cd91d17fa7; subject=IB/mlx5: Adjust hop-limit for R-RoCE; feature=mlx5_ib_bugs; upstream_status=rejected; general=;
Change-Id=I8499326320cb8d595b2a610243c6b53cddc45d06; subject=IB/mlx5: Make sure that PSN does not overflow; feature=mlx5_ib_bugs; upstream_status=rejected; general=;
Change-Id=I748fc65b60cde3ab15011892d69ef121bb6e9254; subject=IB/core: Add SA MAD drops counter; feature=sa_cc; upstream_status=NA; general=;
Change-Id=I23a8e5cd711cf7964e3bf4118662dd5b41e2f93c; subject=IB/mlx5: Fix CQE compression enablement; feature=cqe_zipping; upstream_status=NA; general=;
Change-Id=I0af46f5e63d6545ff230942361322acbcddfab74; subject=IB/mlx5: Reduce DC connect QP and CQ depths; feature=DC_cnak; upstream_status=NA; general=;
Change-Id=I0f702cb472406f3bfa00adc65ba170ecf52929b6; subject=IB/mlx5: Add SW parsing support for RAW ETH QPs; feature=mlx5_sw_parsing; upstream_status=NA; general=;
Change-Id=I74cc8e8466f85681067697edb02076656ebb6280; subject=RDMA: Backward compatibility for Lustre; feature=lustre_support; upstream_status=NA; general=;
Change-Id=I265085c479b0163b010b0b77a1021787bf99160e; subject=net/mlx5_core: Enhance debug print in page allocation failure; feature=mlx5_core_bugs; upstream_status=in_progress; general=;
Change-Id=Id9873946cba2aca42440bcc0848cd5ff149c8c72; subject=IB/uverbs: Fix NULL dereference in attach mcast flow; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I9a467f879208f4c033e11b56a630374f0494e1fd; subject=IB/mlx5: Support range restricted Physical MR; feature=physical_addr; upstream_status=rejected; general=;
Change-Id=I802da9237af1d9b0aab105428d2f6748995701b7; subject=IB/mlx5: Add capability for Physical Range MR; feature=physical_addr; upstream_status=rejected; general=;
Change-Id=Ifb040e774ce30d8866f4357706292c71b9d20003; subject=net/mlx5e: Priv flag to control per channel stats reporting; feature=mlx5e_counter_groups; upstream_status=NA; general=;
Change-Id=I1ea167ba204dfb99f0b8eb03669b3348320ca863; subject=IB/uverbs: Take the port number from the QP; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I3ddf9b5a281e4637368d0e907a75505e9c464950; subject=net/mlx5_core: Add sysfs to control RoCE LAG; feature=roce_lag_sysfs_control; upstream_status=NA; general=;
Change-Id=Iec9473d5f5555882ab99afc8d25f06ca64c53939; subject={IB, net}/mlx5: Fix setting RoCE congestion parameters in lag mode; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
