sep=;
Change-Id=I134dca7c6353ac1e938875fc24dddc577c636d62; subject=mlx5: Add overrun ignore indication; feature=cross-channel; upstream_status=rejected; general=;
Change-Id=I6e8af46dd11fc2632f346ffcb528e8108b9fc5f7; subject=IB/mlx5: Add EXP modify cq support; feature=cross-channel; upstream_status=rejected; general=;
Change-Id=Ic21ad5db851036deee76788cec8a69882f5209db; subject=IB/mlx5: Add EXP create QP support; feature=cross-channel; upstream_status=rejected; general=;
Change-Id=I167afa30c5399490d8db3cf6517106cffb54a951; subject=IB/mlx5: Add EXP query device; feature=cross-channel; upstream_status=rejected; general=;
Change-Id=I2680e32234763859b004b45f96053af3e6032575; subject=IB/mlx5: Report that EXP create_cq is supported; feature=cqe_zipping; upstream_status=NA; general=;
Change-Id=Ibb6e025c6d4a4ce78bef2e5c011466b1bd3d2322; subject=IB/mlx5: Add TS EXP query device; feature=TS; upstream_status=NA; general=;
Change-Id=I773dc06e84b5fe4fe2d877b5df16379b5354a616; subject=IB/mlx5: Add EXP support to mapping HCA's core clock; feature=TS; upstream_status=NA; general=;
Change-Id=I9055e547bc48d8bf8002b0c445773a5d6c1f32d3; subject=IB/mlx5: Add receive inline EXP; feature=scatter_inline; upstream_status=NA; general=;
Change-Id=Ib11d4071f6ea5027b798b4a82a0310fa3bddb153; subject=IB/mlx5: Report that EXP modify QP is supported; feature=DC; upstream_status=NA; general=;
Change-Id=Iff530489a3471da005a04f22ba33dacefab6bafb; subject=IB/core: Add support to create DC INI QP; feature=DC; upstream_status=NA; general=;
Change-Id=If27a8a2c4e5f1558e2ab2bc8b6eda89b41cb76d7; subject=IB/core: Add support to created DC Target; feature=DC; upstream_status=NA; general=;
Change-Id=Iad76fd1038cfd7a94c16ffa6d7e757ed3ecfb401; subject=net/mlx5: Add DCT support; feature=DC; upstream_status=NA; general=;
Change-Id=Ib477373c9ebd6941780b980d6c2fefb64a9a6e9e; subject=IB/mlx5: Add support to receive inline in query device; feature=scatter_inline; upstream_status=NA; general=;
