sep=;
Change-Id=I46e8bd560b1add934e4888f02965fd638cef8c41; subject=IB/core: Add retries to the API of all send_mad functions; feature=send_mad_retries; upstream_status=in_progress; general=;
Change-Id=Ib0a70f83873af7540cbbd863638772dbb8ed3403; subject=IB/_mad: Add SA MADs congestion control; feature=sa_cc; upstream_status=in_progress; general=;
Change-Id=I61afe93a7bf0a387c86dccde3356339465a8ce89; subject=IB/core: Add sysfs to SA MAD CC parameters; feature=sa_cc; upstream_status=in_progress; general=;
Change-Id=Ie0616f9dd66ec869fa969a6b62be0f19e28d7453; subject=IB/uverbs: Add EXP reg mr; feature=contig_pages; upstream_status=NA; general=;
Change-Id=I7bb282b3991dfe0ba496751132e67fc536e5590b; subject=IB/mlx5: Add EXP reg mr; feature=contig_pages; upstream_status=NA; general=;
Change-Id=I4efb4c7290fc9fa48f2ef2776d4112e60c510376; subject=IB/mlx5: EXP contig pages; feature=contig_pages; upstream_status=NA; general=;
Change-Id=I1c1e73200b27af0aef2709fa0ea94a53a543b3b6; subject=IB/core: Restrict Physical Address MR usage; feature=physical_addr; upstream_status=rejected; general=;
Change-Id=I1025aa2deff800a50d35f27cd7b07b0fa6b84b2b; subject=IB/mlx5: Add support for Physical Address MR from user-space; feature=physical_addr; upstream_status=rejected; general=;
Change-Id=I24f744524ada93fc713e68d151602652bc0bb1ef; subject=IB/mlx4: Add support for Physical Address MR from user-space; feature=physical_addr; upstream_status=rejected; general=;
Change-Id=I00674006d4d1628210956ca593baf0fa559c2de3; subject=IB/uverbs: Add ODP to EXP query device; feature=exp_odp; upstream_status=NA; general=;
Change-Id=I80343e14556e81ac93d8153bc94e4c8644af2420; subject=IB/uverbs: Add ODP EXP path; feature=exp_odp; upstream_status=NA; general=;
Change-Id=I5063094459f7ee96d791e8781727701054bb77e6; subject=IB/uverbs: Add EXP verbs prefetching ODP MR pages; feature=exp_odp; upstream_status=NA; general=;
Change-Id=Icfbf4a5ee3e3205ee197badc9ed83100064d2559; subject=IB/mlx5: Add EXP prefetch mr; feature=exp_odp; upstream_status=NA; general=;
Change-Id=I50256a535fc6f30665f70f4b66f3acd84c39f740; subject=IB/mlx5: Add ODP support for EXP query device; feature=exp_odp; upstream_status=NA; general=;
Change-Id=I70ad47528c547a75d4ea98664504664e90eb46be; subject=IB/mlx5: Add statistics and debug counters; feature=exp_odp; upstream_status=NA; general=;
Change-Id=I2bee693394ac28e39ffe5acd98127e68ec31aecb; subject=IB/uverbs: Add UMR to EXP query device; feature=exp_umr; upstream_status=NA; general=;
Change-Id=Iba7bfe060ee80f02e064adabff2e0493821e95ce; subject=IB/uverbs: Add create_mr; feature=exp_umr; upstream_status=NA; general=;
Change-Id=I46c8a95439e75d8dc8fb215e82fae66361f7fd45; subject=IB/mlx5: Publish UMR support via exp query device; feature=exp_umr; upstream_status=NA; general=;
Change-Id=Ie0b4bcae07d759d3b59fc4d9c1359ccb949899cd; subject=IB/mlx5: add support for create_mr verb; feature=exp_umr; upstream_status=NA; general=;
