sep=;
Change-Id=Ibca2695c260efe987b211733fbef6cbe31e81e35; subject=IB/mlx5 : Fix clearing of end_padding bit in rq creation; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I5576854091f9c629eba07bc05786c45b5636879a; subject=IB/mlx5: Renaming profile and init methods; feature=disable_roce; upstream_status=in_progress; general=;
Change-Id=Ieb2d2ac926df5e60b1a0e73997dc0b7b7f046c40; subject=mlx5: Add a state of RoCE enablement; feature=disable_roce; upstream_status=in_progress; general=;
Change-Id=I548347f18a9df326d985612703acf86f25282f9c; subject=net/mlx5: Add sysfs API to control RoCE enablement; feature=disable_roce; upstream_status=NA; general=;
Change-Id=I992f3c938ac5b3f86bb28545c4ef06db61aa02a6; subject=IB/uvebrs: Use perform_destroy in exp_free_dm; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=Ib062ab14edb634dc6306c9e4e8e4c3107fa181c9; subject=IB/mlx5: Report PCI atomic caps; feature=exp_pci_atomics; upstream_status=NA; general=;
Change-Id=Ia0bc3f4c70b379f7cb67d162e011bfc2afc9610a; subject=IB/uverbs: Add experimental PCI atomic capabilities; feature=exp_pci_atomics; upstream_status=NA; general=;
Change-Id=I282ba5e3815a474eb22217797a4f013b915d98ee; subject=IB/core: Move experimental DCT uverbs API to new API; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=Iab2a55230617b6c283a5fbd57551ccbdf632ad1a; subject=IB/mlx5: Add mlx5 create qp flags; feature=Blueflame_for_vfs; upstream_status=in_progress; general=;
Change-Id=I3a54fc6cea537ebb0cc34781a71162c2885a13b8; subject=IB/mlx5: Add NOP WR; feature=Blueflame_for_vfs; upstream_status=in_progress; general=;
Change-Id=I69cdb4d9897a9677f46f70832aaa8b2ac779bed0; subject=IB/mlx5: Test write combining support; feature=Blueflame_for_vfs; upstream_status=in_progress; general=;
Change-Id=I4996850762a943fdfd4c18634ca0b72daf0e1b87; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I3acb07407a08b0bd1e28ffb216c44c6186192140; subject=net/mlx5: Set ODP capabilities for DC transport to max; feature=odp_dc; upstream_status=accepted; general=upstream commit ID: 00679b631eddaa0aa0ceba719fcb1f60c65da5a3, tag: v5.3.0-rc7;
Change-Id=If0cfa5814cf70a5bf743e2fb7ad7c4e8afd6442c; subject=IB/mlx5: Remove check of FW capabilities in ODP page fault handling; feature=odp_dc; upstream_status=accepted; general=upstream commit ID: 29af94987ba68a0244b73e8a0b051addb8853f93 , tag: v5.3.0-rc7;
Change-Id=If87ee529f24ce3357bc2ec7c6dcc9a5b2c2bd86f; subject=IB/mlx5: Add page fault handler for DC initiator WQE; feature=odp_dc; upstream_status=accepted; general=upstream commit ID: 75e46fc02c975f401e70a53ecd55d475081d13a3, tag: v5.3.0-rc7;
Change-Id=I432c2d62217aaa17d99a3cbecd623051b87b6ce2; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ie32cb23c0a7bcc4d1fcfd086fbad9a546a4aa928; subject=IB/mlx5: Fix write-combining test when roce disabled; feature=Blueflame_for_vfs; upstream_status=in_progress; general=;
Change-Id=I6ec5973afd347483507af4da07abacaeeb8191d5; subject=IB/mlx5: Fix skipping page fault handling in case of SRQ; feature=mlx5_ib_bugs; upstream_status=ignore; general=;
Change-Id=If59d98df8ac3bd2b23b7f28e233a50d71227db7b; subject=IB/mlx5: fix indirect and fixed size MR creation; feature=mlx5_ib_bugs; upstream_status=NA; general=;
