sep=;
Change-Id=I2fc6b3e0ab78d09103fa386671364f2a49ad5ad1; subject=net/mlx5: fix vport/port API to support sriov sysfs; feature=sriov_sysfs; upstream_status=NA; general=;
Change-Id=Ibd4e33baca9d5432c9bb316e6a636bb854492d1f; subject=net/mlx5: add sriov sysfs support; feature=sriov_sysfs; upstream_status=NA; general=;
Change-Id=I97f6929af60dd139b2dc8dcb68f7c9e3232bd1a4; subject=net/mlx5e: Reset IRQ interrupts names for closed RX queues; feature=mlx5_4_9_bug_fixes; upstream_status=NA; general=;
Change-Id=Ib1d844f15c64002069decf80de855fece27bdf6b; subject=net/mlx5: Get vport info directly from the vport struct in sriov sysfs; feature=sriov_sysfs; upstream_status=NA; general=;
Change-Id=I028ee2baf714b3e639c208860b0af225a3fb3eab; subject=net/mlx5: Add PCI suspend and resume callbacks; feature=rebase; upstream_status=NA; general=;
Change-Id=I4adcd6aadf3da13362a64a4ecd2ce6ea9fce11a6; subject=net/mlx5: Add missing guids/node_guid module params; feature=rebase; upstream_status=NA; general=;
Change-Id=Idb63ea4647fdc27cff41e646ed6ecec67098b113; subject=net/mlx5: Block dcbx if the kconfig is disabled; feature=backports; upstream_status=NA; general=;
Change-Id=Icf62738cb30b38c428942c2da199b80c82a9f674; subject=net/mlx5: Add warning print when page allocation fails; feature=backports; upstream_status=in_progress; general=;
Change-Id=Iaac13f2c6475ac66a63033b3bedb2645e033c2eb; subject=net/mlx5: Add garbage collector to the pages free list; feature=mlx5_eeh_cmd_time_out; upstream_status=in_progress; general=;
Change-Id=Ia238181378c0c08fd8109a2cbd41ae3a4112ade2; subject=net/mlx5: Limit fw page allocation time; feature=mlx5_eeh_cmd_time_out; upstream_status=in_progress; general=;
Change-Id=I443748f84740c0b11defdef8de93d77d15cb256c; subject=net/mlx5: Disable vfs pages counter warning on internal error; feature=mlx5_eeh_cmd_time_out; upstream_status=in_progress; general=;
Change-Id=I6d6b25cfd3ca179a4464ab10310432d11b5945b7; subject=net/mlx5: Add cmd sysfs to manipulate cache sets; feature=cmd_if_sysfs; upstream_status=NA; general=;
Change-Id=I23c2f631a19cf2474735000b3ec9486b216b4996; subject=net/mlx5: Add SRIOV VGT+ support; feature=mlx5_vgtp; upstream_status=in_progress; general=;
