sep=;
Change-Id=I1e1dfc510db1ecb8c92f0d9d0897a7b8becc19e6; subject=net/mlx4_core: Allow change mode of ingress packet parser; feature=mlx4_ingress_packet_parser; upstream_status=NA; general=;
Change-Id=I1b7ab571e1678df5af84260937110aa53aef81b1; subject=net/core: Add module parameter ud_gid_type; feature=mlx4_rocev2; upstream_status=NA; general=;
Change-Id=Iab7db6d9b2077333f29b4938ec41292f46c1a485; subject=mlx4/core: Add interface to modify HW gid table; feature=mlx4_rocev2_for_upstream; upstream_status=in_progress; general=;
Change-Id=I30808f79176b4b83a396e0f3991b2e00cd6d6751; subject=IB/CMA: Change timeout for CM connection establishment; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I1b44c434bf0357734042e177f5d4309cf9286a8e; subject=IB/cma: Change function that resolves sl from tos for RoCE; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I9bcdeba7094a53fa020c310d3466f9cb74c0205c; subject={net,IB}/mlx4: Extend wrapper for SET_PORT; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=Id880b101e73cbdf20bd8d0cdd6e1ab57ff74fdbb; subject=net/mlx4: Disable supported RoCE modes for slaves; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=Iff2550c638968c258d4216ca926a40dd8b98977e; subject=net/mlx4: Extend QUERY_FUNC_CAP to indicate RoCE addr support; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I105d08270f1db340cedd8099f2ba4c438069203f; subject={net,IB}/mlx4: Set entropy value for VF QPs; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I33aab64932fed91f4422a5d2712f2b2e8824bb35; subject=net/mlx4: Let old type of slaves to work with new hypervisor; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I41b23bf9cfbae04380735cd46ab5daf085579228; subject={net,IB}/mlx4: Get gid type when sending MADs from slaves; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I208d7eb4523eb99d55c4cc951ed768addec3368c; subject=IB/mlx4: Don't open RoCEv2 GSI QP in slaves; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I2729b2e309d05306f73274cbb694298879c1aea5; subject=IB/mlx4: Translate gid index in AH of slave to hypervisor mapping; feature=mlx4_rocev2_sriov; upstream_status=in_progress; general=;
Change-Id=I16c054f0cbe12b7918027e9aa27c25541d3e5131; subject=IB/core: Resolve IP to MAC with ARP only when necessary; feature=ah_from_wc_noarp; upstream_status=in_progress; general=;
Change-Id=Idc6fb1b9736bee83deb576cc50cbce8d2dda5a13; subject=IB/core: Export functions to make and check default gid; feature=rocev1_compat_gid; upstream_status=NA; general=;
Change-Id=Ib94aa0885b5f78ef06398b4c7e69e382fc074252; subject=IB/mlx4: Allow to reject default gid assignment; feature=rocev1_compat_gid; upstream_status=NA; general=;
Change-Id=Ie47fd8594aa7aa8f7ccb5f91035171c4590ba15e; subject=IB/mlx5: Add module parameter to control DC CNAK QP depth; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=I24ba123fdc8b86a83930e077b79deeee31c01a34; subject=net/mlx5: Update HCA caps command interface; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=Ie7c241a832af352b65aaf6bd2a395541f338e03d; subject=IB/mlx5: Split statistics variables from DC CNAK data structure; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=Ib2259c20ef258707b7805171bec19b5595aa9822; subject=IB/mlx5: Scale up DC CNAK capabilities in driver; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=I754822161db7c452badbe777dc51ed774e4d17f8; subject=IB/mlx5: Add sysfs files related to DC CNAK; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=If4c80b4b79584653026ddd9d2da59e3c69855e8a; subject=IB/mlx5: post_send() signaled DC CNAK packets with respect to queue size; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=Icda7847e709cac73d7448daa92fb18dd56798b0b; subject=IB/mlx5: Counter for sent cnaks shows wrong value; feature=dc_cnak_scale; upstream_status=NA; general=;
Change-Id=Ib01b76d4ee11ab3069decd5fca7c13f7b6cf26b9; subject=IB/mlx4: Don't config RoCEv2 port in Virtual function; feature=mlx4_ib_bugs; upstream_status=in_progress; general=;
Change-Id=Ia4f82ef24a5361b88fa066ed2b96f63796fed5df; subject=IB/mlx5: Add sysfs files to force traffic_class; feature=mlx5_force_tc; upstream_status=NA; general=;
Change-Id=I4df35aae69207640e0d9c684519d9f8fb6d49653; subject=IB/mlx5: Force traffic_class when modifying a QP; feature=mlx5_force_tc; upstream_status=NA; general=;
Change-Id=Ie7abd85dd97c2de9528efbf6e9f4d6a2978a9349; subject=IB/mlx5: Initialize rwq_ind_tbl when not in exp flow; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I2c05d33d9bf9340b3fb693d41b8b8bb9230fa8e7; subject=net/mlx5: reduce level for message about bogus CQ; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I2657991d07f8d43180d4ec5f8e00b92645d44dfb; subject=IB/mlx: Fix destroy flow of DC CNAK QP resources; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I0d0a2b6ded119ab0bfc1ee69356ba2c1891cf2be; subject=net/mlx4: Fix bad calculation of port map; feature=mlx4_core_bugs; upstream_status=in_progress; general=;
Change-Id=Ida88d041cf19ad0c72f7d5fd7053ebad2d3d9806; subject=IB/mlx5: Force tclass on DC targets; feature=mlx5_force_tc; upstream_status=NA; general=;
Change-Id=If359d56caf5540654ff3c43e5a5b9665858bbb27; subject=IB/mlx5: Avoid hangs due to missing completion; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=If3f914e451ea1e4678bd636abfd44682d5cc1f85; subject=IB/mlx5: Don't resume page fault if QP is not found; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=I2395d9844f70a450867c6d7ce33e2ffba39e932b; subject=IB/mlx5: Cancel request for completion in error flow; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=I1de008eea6d06ed53fa937c2a19bce2d34544b4f; subject=IB/mlx5: Increase timeout of waiting to mmu notifier to complete; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Ifc702488ec2d0ecc144118b17bf7e8ea4d8c3d17; subject=IB/mlx5: Ignore pagefault event that are handled after QP was reset; feature=mlx5_ib_bugs; upstream_status=ignore; general=;
Change-Id=I4678fd620ab51e66455cdd8135ec429925282263; subject=mlx5/core: Use multi threaded workqueue for page fault handling; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=If6ba5fab9db736e9dab5ed6113ca857b4e0a6735; subject=net/mlx4: Don't try to manage device LAG on slaves; feature=mlx4_core_bugs; upstream_status=in_progress; general=;
Change-Id=I609afe43c1e7306df496956098e27f8830c2b1eb; subject=IB/mlx5: Change prefetch_mr implementation from exp to upstream; feature=mlx5_advise_mr; upstream_status=accepted; general=;
Change-Id=Id9f680e431bd891857979b9f34d2eae0b44da71d; subject=IB/mlx5: ODP and CAPI invalidation histogram; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
