sep=;
Change-Id=Idde6c0080bdcd3206f49d9335b9baaa342611895; subject=IB/core: Enable out of order data placement; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I2f2511066c85fd9570d80cbf6c52ff9a2146b438; subject=IB/uverbs: Define additional mask for out of order QP attribute; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I8bf3475e85194e5a02b00ab35496c64d69ad7195; subject=IB/mlx5: Enable provider driver for out of order capability; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I5b82de025824e5bf24d26d1246608e47da8f2b8a; subject=IB/core: Make ib_nl_ip_send_msg() non blocking; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=Ic162601fa5bbce864d1ae05f5fe17fd93a25ffad; subject=IB/core: Introduce rdma_is_gid_attr_valid() to check GID attribute; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=Ib3f31f528fa14e2e054faccc6b8be7a4c1f0cffa; subject=RDMA/core: Validate net ns of RoCE gid and gid attribute sysfs entries; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I174b2c0f35f278f0c98d850097f3804c0e390011; subject=IB/core: Validate net ns of RoCE gid during destination resolve; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I5f6c84b4339ff03c99f3b87ddce809f4e4577518; subject=IB/ipoib: Allow setting mac address for the VF; feature=ipoib_bugs; upstream_status=NA; general=;
Change-Id=I951aaeeabc0a966a17d129d37b40958fa39ef487; subject=RDMA/core: Rescan netdev to add IP based GIDs; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I06d01bffa99113faab1f579994450f34330bcec6; subject=net/mlx5: Add query for mac address; feature=mlx5_sfs; upstream_status=NA; general=;
Change-Id=I3955098d099c1e48dd3bd7923f3e6cb6662b7247; subject=IB/core: Introduce and honor bond_device flag; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I6f769128b981e4e784b582f69d3b038de6cc3553; subject=IB/mlx5: Expose rdma bond device; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I30827f1199218ab02ce64d9879d7d723a513bab9; subject=IB/mlx4: Expose rdma bond device; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I1d15d74dc6bfbefeedabc67c2f60e0e38b439f63; subject=vfio/mdev: Improve the create/remove sequence; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I6f7415df53be5163b2f42a77d7a37cd0d8c79d8c; subject=vfio/mdev: Avoid creating sysfs remove file on stale device removal; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I7c8a7d8e8cb4dff1132e569943ce8e2f0ab55802; subject=vfio/mdev: Synchronize device create/remove with parent removal; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I1842bceedb8470e2281f5b0352fdd6d14eb245f3; subject=net/mlx5: Rename mlx5_pci_dev_type to mlx5_coredev_type; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I8deb5b49415184a3cb7ab68d2c490268348a4e55; subject=net/mlx5: Move pci status reg access mutex to mlx5_pci_init; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ic672e4dc64d2610624608057c8d618b490c9405c; subject=net/mlx5: Limit scope of mlx5_get_next_phys_dev() to PCI PF devices; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I47d788b7120310c5ddb0346c12d42f51587f52c0; subject=net/mlx5: Introduce and use mlx5_eswitch_get_total_vports(); feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=If23b629cea73d113b84c7106bc986796cbfec28a; subject=net/mlx5: E-Switch, Assign name for PF/VF/SF representor; feature=mlx5_sfs; upstream_status=in_progress; general=;
