sep=;
Change-Id=Ib98d8ab5abd3b232484990c4da49af9e5a70bf1e; subject=RDMA: Fix compatibility with Lustre; feature=lustre_support; upstream_status=NA; general=;
Change-Id=Ia74a3461fc098843d13369d3f94693f085c70811; subject=IB/cm: Make the cm_calc_udp_sport function static; feature=udp_sport; upstream_status=in_progress; general=;
Change-Id=I26e6837fa9e806add4c6d13164fa6b7fd22954f2; subject=IB/mlx5: Fix use-after-free in dereg_mr() function; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I1324280afe7284ba6479318e8799b2f669ef5905; subject=IB/{mlx5,core}: Introduce and implement new IB_PROT_CRC32; feature=sig_crc32; upstream_status=NA; general=;
Change-Id=Ib7cef1236b1ec6082f8dbf3e2316274bf2da1fc5; subject=IB/mlx5: Fix handling of SIGERR SQD event for user QPs; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Iaf511a02b6e8a47b582c7b05ec8e496208a8383f; subject=IB/isert: Fix device capability checking; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I58eab1beb9b9a1a425a484007aa4dfd46cc57ab9; subject=IB/core: Introduce signature pipelining API; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Id46219e25ed66156f1301065aac7118e3ee97a08; subject=IB/mlx5: Add IB_QP_CREATE_SIGNATURE_PIPELINE support; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Ifc54f8fd18d580609afddfcc4d5e332fba2ac1f1; subject=IB/mlx5: Add IB_SEND_SIG_PIPELINED support; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=If2b30fa7b95a0379ec6c2a3f20642c749d0e2c54; subject=mlx5: Implement the SQD2RTS command for QP; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=If525f904f97d3685ff62f17456530a1a12b84b42; subject=IB/mlx5: Handle SIGERR SQD event; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I40715d0393e58e20b491769da808fa261dd6b50f; subject=IB/mlx5: Update a status for the canceled WR; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I27b8d6790e809884ece0f23765b1e30ae43ac50a; subject=mlx5: Expose the signature pipeline feature; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I02e5c30745f78942c68b32dbeb4a3dddec9d3183; subject=IB/isert: Add sig_pipeline flag for isert_conn; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I503ba12eabdbb3dcf58ea5979e4b4f49f5bbf542; subject=IB/isert: Split the isert_init_send_wr function; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Ib96820d320a5d11bb4562cf6fb511ec51945c321; subject=IB/isert: Use the signature pipeline feature; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Icce5462598ade053b958325d84b2471bf52b5cb6; subject=BACKPORTS: Add SRP backports; feature=backports; upstream_status=ignore; general=;
