sep=;
Change-Id=I90a8eff12b1fc9e00fd4563133e6f0f6aa34ac99; subject=Revert "net/mlx5e: Align ratelimit feature with upstream code"; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=I63e07d20d466ffcc90711c94c7796e8eadb75a7a; subject=Revert "mlx5/core: Get pp rate limit queues based on capability"; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=Id72862b020423bbb900925f720112307f6ce263f; subject=Revert "net/mlx5e: Adding flow mapping to queues"; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=Ib1460aa561e245fe8298b701e76dee4d5508bc3a; subject=Revert "net/mlx5e: Support addition of special TX queues"; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=Ib0373dc66659f91b79497808e63f8e50d198f53e; subject=ib_core: fixup: umem_odp.c: ib_ucontext_per_mm; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=If1aed85779c06d760f95073d948dcec41c088dc1; subject=ib_mlx5: mr.c: umem->owning_mm; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Id7c28914228e222cb7e5471e0c5867016451dc50; subject=net/mlx4: device LAG on slaves: don't start work; feature=mlx4_core_bugs; upstream_status=in_progress; general=;
Change-Id=I725673d2cdc01676ce6cab6a20f177a5b5ca75d5; subject=Add missing retpoline; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Iacd52e70a59fa913b3051e3538c161fa8eb9b85d; subject=openibd: unload storage modules if not in use; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ia3142dbab411897a79453c03f2ae9fdbcdca959e; subject=openibd: deb: unload storage modules if not in use; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I4462bc4a1ab1c3555c70cbf2838f7943789a6397; subject=fixup! openibd: unload storage modules if not in use; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5d09c05322761bbb5565352628ab5d694087897a; subject=metadata: fix previous commit; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I79467eedf813e8ef445df64ae814e093f15e76ac; subject=Remove e_ipoib support; feature=ofed_scripts; upstream_status=ignore; general=;
