sep=;
Change-Id=Ib39e40de42ebf316fb01cd5658f5c1ee149f4932; subject=net/mlx5: E-Switch, Do not query stats of disabled vport; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib94cf728b49e710b6c962977cb8ada1fb13d0fe4; subject=net/mlx5: E-Switch, Disallow modify vport state down on disabled SF vport; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I46002582a3356dea9f2d5076e570b2eef4f49d9e; subject=net/mlx5: E-Switch, Disallow transition to other modes if SF active; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I536d19d27fa54c93d730074bef05b238a8fc3468; subject=vf-net-link-name.sh: Fix the issue of BlueField and SF representor names; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I0bb09246b3c11befff6dc968e8d9ab5c09beee0a; subject=net/mlx5: E-Switch, Add SF vport, vport-rep support; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I09ad7e39f3fdc73ddc9c15fbddda28687a96bb44; subject=net/mlx5: E-Switch, Replace host_params event with functions_changed event; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I7a210df6c1cfc55b5c597c54c3b86d37f3090b21; subject=net/mlx5: E-Switch, Honor eswitch functions changed event cap; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I43eeba60aaec252a0acffec60b15a2384524b911; subject=net/mlx5e: Generalize vport type in vport representor; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=Id6b9aaba0924df0a37d393df8feb147985dab565; subject=net/mlx5: E-Switch, Handle representors creation in handler context; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I1f0b4b4342ed30346407c10b031046471c907d01; subject=net/mlx5: E-Switch, Exclude query_other_hca_cap_roce on SF vports; feature=mlx5_sfs; upstream_status=ignore; general=;
Change-Id=Iab6168618698ebeba9090d7e1f25e3a63a5f2edc; subject=net/mlx5: E-Switch, Do not enable vports again; feature=mlx5_sfs; upstream_status=ignore; general=;
Change-Id=I147b7b3befe1f5b2134ab02e2da1754505a75bc4; subject=net/mlx5: Add support for mediated devices in switchdev mode; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib95ab2ebffbc8b33cf46132f70abdcc2dd35e213; subject=net/mlx5: E-Switch, Enable support match metadata reg_c for SF vports; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I2be517f9dd2012da8b4ec5d31ef2638e6b2e37e9; subject=net/mlx5: E-Switch, Add peer miss rule for SF vports; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ie2401cb8ea664be08f490e1ec3d0253feba79d25; subject=net/mlx5: E-Switch, Refactor vport egress config in offloads mode; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iaa72069a0ce1edaf6e62d0dd3c73d762201cefee; subject=net/mlx5: E-Switch, Rename ingress acl config in offloads mode; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I3bfefecdd3379d8528059b5946d63fa0135f5e4f; subject=net/mlx5: Introduce egress acl forward-to-vport capability; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I6d30264a8f6f42d756d43899faa780aae9e15b0e; subject=net/mlx5: E-Switch, Introduce APIs to enable egress acl forward-to-vport rule; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I8a03da552d7b29d757280c8189ba80e1c6badc02; subject=net/mlx5: E-Switch, Use change upper event to delete vport egress acl forward rule; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I64c1e09667f670380e3ba55863b6442db5ab65f1; subject=net/mlx5: E-Switch, Support tc block sharing for representors; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ibc4020fe775f6a9f2b09fa7bc848207068fe05a6; subject=net/mlx5: E-Switch, Add bond_metadata and its shadow entries; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Id6f86fd76639e1e611a56dcb5be1551685b2ff6c; subject=net/mlx5: E-Switch, Slave representors sharing ingress acl table and unique metadata; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ia1dbcc98458db4827573c686847284ead9f53bbe; subject=net/mlx5: E-Switch, Use change upper event to setup representors' bond_metadata; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I96894064fb47c2b0cf279c0a56c61dd5e0c521e6; subject=BACPORTS: Egress and ingress ACLs; feature=backports; upstream_status=ignore; general=;
