sep=;
Change-Id=I04c5cc350779894532af3cd1b3c08570b8351ed0; subject=net/mlx5e: Adding flow mapping to queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I2065edd4b0105814a00c60b4ca57ba640987af16; subject=net/mlx5e: Per channel stats to support other queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I744dcb26fcdb38c88d3061af8177a7549db1184f; subject=net/mlx5e: Support addition of special TX queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I9bfeed5bebef39039eb42ee49ab26267a5936349; subject=net/mlx5e: Align ratelimit feature with upstream code; feature=iommu_soft_lockup_WA; upstream_status=NA; general=;
Change-Id=I2130cb7b5313727b156a0e1d3f2fa1ad125e1a66; subject=mlx5/core: Get pp rate limit queues based on capability; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=Ifd8a7ac53dd104bdca4c4e570663295fe7d53405; subject=net/mlx5e: Support nic vport commands from ECPF; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I125bb373b5bf2d54db59ebece308bed97ba01598; subject=net/mlx5: sysfs for setting PF's max_tx_rate via ECPF; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=If5a1b48e93c5f574415bdf82cd53895b415cbeb1; subject=net/mlx5: config display and mac sysfs of PF via ECPF; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I02ecb5f2cbb50e7fe08210b198968898cda5d124; subject=net/mlx5: Support VF mac and tx_rate conf from ECPF; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I261e2f3d1336ceec06211318aec1eb92e37dbcfe; subject=net/mlx5: Host control sysfs backport support; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=I015ea1c90db2fc38de99d3bfc75a6cdab7916f19; subject=net/mlx5: Introduce EQ polling budget; feature=rebase; upstream_status=accepted; general=;
Change-Id=I9f913ef08fc1866c23861af649d1dcacd8a251c3; subject=net/mlx5: Remove EQ rename function; feature=rebase; upstream_status=accepted; general=;
Change-Id=I1d82f695fd59fc46d175685db835afc9bab8e7ee; subject=net/mlx5: Remove redundant IRQ affinty clear; feature=rebase; upstream_status=accepted; general=;
Change-Id=I9655f811e4b5cbfa58593d6a27a99b80a898307c; subject=net/mlx5: Change interrupt handler to call chain notifier; feature=rebase; upstream_status=accepted; general=;
Change-Id=I1fc9438477d65ec2a9d5489ffd054b1f8d2ee912; subject=net/mlx5: Separate IRQ request/free from EQ life cycle; feature=rebase; upstream_status=accepted; general=;
Change-Id=I00995ec28c6ea7bfa7eaa9401b8960cf8a31a513; subject=net/mlx5: Separate IRQ data from EQ table data; feature=rebase; upstream_status=accepted; general=;
Change-Id=If62756ad2ba9a8d5fd8d023f728f9d9c860ba0c0; subject=net/mlx5: Move IRQ rmap creation to IRQ allocation phase; feature=rebase; upstream_status=accepted; general=;
Change-Id=I5ead71a732195b568ba1eeba5f50f9f1b81ba600; subject=net/mlx5: Move IRQ affinity set to IRQ allocation phase; feature=rebase; upstream_status=accepted; general=;
Change-Id=Ic351073df88567fc508aa01ccfdf7ae480cfbd86; subject=net/mlx5: Separate IRQ table creation from EQ table creation; feature=rebase; upstream_status=accepted; general=;
Change-Id=Ida74b2cc4ebaa7a9814343c4db90109f2c73cb5b; subject=net/mlx5: Generalize IRQ interface to work with irq_table; feature=rebase; upstream_status=accepted; general=;
Change-Id=Iab2f1ffb61105f559401702b32fc6220cc9f0c1a; subject=net/mlx5: Move all IRQ logic to pci_irq.c; feature=rebase; upstream_status=accepted; general=;
Change-Id=Ia631a3dae3b946683d273133db2343c9b10ab118; subject=net/mlx5: Rename mlx5_irq_info to mlx5_irq; feature=rebase; upstream_status=accepted; general=;
Change-Id=I5f0a9946ca5bdfc3461c85d27f4b70751ffbd651; subject=net/mlx5: Add EQ enable/disable API; feature=rebase; upstream_status=accepted; general=;
Change-Id=I3deeb7fbb866f1698619dbaa9bc231b416fc12f5; subject=net/mlx5: Host PF/VF vport state sysfs control via ECPF; feature=mlx5_en_bugs; upstream_status=NA; general=;
Change-Id=Ib8e75e63709f1802078247b245d90a4a2be26dfa; subject=net/mlx5: Share irqs between SFs and parent PCI device; feature=mlx5_sfs; upstream_status=in_progress; general=;
