sep=;
name=ofed_scripts; type=scripts; upstream_status=ignore;
name=rebase; type=kernel; upstream_status=NA;
name=backports; type=backports; upstream_status=ignore;
name=ib_core_bugs; type=bug; upstream_status=NA;
name=rdma_rxe_bugs; type=bug; upstream_status=NA;
name=ipoib_bugs; type=bug; upstream_status=NA;
name=mlx4_ib_bugs; type=bug; upstream_status=NA;
name=mlx5_ib_bugs; type=bug; upstream_status=NA;
name=mlx4_en_bugs; type=bug; upstream_status=NA;
name=mlx5_en_bugs; type=bug; upstream_status=NA;
name=mlx4_core_bugs; type=bug; upstream_status=NA;
name=mlx5_core_bugs; type=bug; upstream_status=NA;
name=memtrack_bugs; type=bug; upstream_status=ignore;
name=contig_pages; type=exp; upstream_status=rejected;
name=shared_mr; type=exp; upstream_status=ignore;
name=cross-channel; type=exp; upstream_status=rejected;
name=TS; type=exp; upstream_status=rejected;
name=RSS_CX3; type=exp; upstream_status=rejected;
name=rereg_mr; type=exp; upstream_status=rejected;
name=flow_entropy; type=exp; upstream_status=rejected;
name=scatter_inline; type=exp; upstream_status=rejected;
name=extended_atomics; type=exp; upstream_status=rejected;
name=atomic_endianness; type=exp; upstream_status=rejected;
name=flow_steering; type=exp; upstream_status=rejected;
name=mr_cache sysfs; type=feature; upstream_status=in_progress;
name=mr_cache release policy; type=feature; upstream_status=in_progress;
name=large MR registration optimization; type=feature; upstream_status=in_progress;
name=send_mad_retries; type=Feature; upstream_status=in_progress;
name=sa_cc; type=Feature; upstream_status=in_progress;
name=roce_sniffer; type=feature; upstream_status=rejected;
name=cqe_zipping; type=exp; upstream_status=NA;
name=resource_domain; type=exp; upstream_status=NA;
name=physical_addr; type=feature; upstream=rejected;
name=DC; type=exp; upstream_status=NA;
name=mask_atomics; type=exp; upstream_status=rejected;
name=max_device_ctx; type=exp; upstream_status=rejected;
name=DC_tracer; type=exp; upstream_status=rejected;
name=DC_cnak; type=exp; upstream_status=rejected;
name=exp_odp; type=exp; upstream_status=rejected;
name=extended_atomic; type=exp; upstream_status=NA;
name=vf_rate_limit; type=feature; upstream_status=in_progress;
name=sriov_sysfs; type=feature; upstream_status=NA;
name=exp_umr; type=exp; upstream_status=rejected;
name=TOS_steering; type=feature; upstream_status=sent;
name=exp_create_flow; type=exp; upstream_status=NA;
name=vxlan_cx4; type=feature; upstream_status=in_progress;
name=vxlan_cx4_backport; type=feature; upstream_status=NA;
name=flow_tag; type=feature; upstream_status=in_progress;
name=exp_query_mkey; type=exp; upstream_status=rejected;
name=compact_av; type=feature; upstream_status=NA;
name=cx4_roce_ud_exp; type=feature; upstream_status=NA;
name=cmd_if_sysfs; type=feature; upstream_status=NA;
name=mlx5_4_9_bug_fixes; type=bug; upstream_status=in_progress;
name=mlx4_core_misc; type=feature; upstream_status=NA;
name=mlx4_en_misc; type=feature; upstream_status=NA;
name=mlx4_en_inline_scatter; type=feature; upstream_status=in_progress;
name=mlx4_en_sysfs; type=feature; upstream_status=NA;
name=mlx4_en_priv_flags; type=feature; upstream_status=NA;
name=mlx4_disable_multicast_loopback; type=feature; upstream_stats=NA;
name=dynamic_uar; type=feature; upstream_status=NA;
